name	tier	hash	eye now	eye size vs correct
Contender's Shell	Exotic	113124080	detached	28%
Cottontail Shell	Exotic	286098606	detached	37%
Poison Courier Shell	Legendary	2371653989	detached	58%
Trostland Courier Shell	Legendary	2179603793	detached	58%
Vanguard Courier Shell	Legendary	2371653992	detached	58%
Verdant Infinity Shell	Legendary	2179603792	detached	58%
City Courier Shell	Legendary	2371653993	detached	58%
Buoy Shell	Exotic	537036427	detached	56%
Ternion Honor Shell	Legendary	1028757552	detached	50%
Gensym Relic Shell	Exotic	3677746975	detached	50%
Subterfuge Shell	Legendary	3921206146	detached	50%
Painted Eye Shell	Legendary	374922806	detached	50%
Seal of Troika Shell	Legendary	4283023979	detached	50%
Triangle Shell	Legendary	374922807	detached	50%
Trusty Shell	Legendary	374922801	detached	50%
Orbweaver Shell	Exotic	1090082587	detached	39%
Lapine Shell	Exotic	286098604	detached	48%
Tastemaker Shell	Legendary	2371653990	detached	49%
Bulwark Shell	Legendary	2371653988	detached	49%
Hatchling Shell	Legendary	2179603795	detached	49%
Prophet Shell	Legendary	2179603794	detached	49%
Revelry Courier Shell	Legendary	2179603799	detached	49%
Worrier Shell	Legendary	2371653991	detached	49%
Aqua Tusk Shell	Legendary	4214004315	detached	21%
Brilliant Starfish Shell	Legendary	4214004314	detached	21%
Techno Robin Shell	Legendary	3308716490	detached	31%
Path Followed Shell	Legendary	4214004310	detached	31%
Okular Fortitude Shell	Exotic	1833569877	detached	60%
Hard-Packed Shell	Exotic	4031340275	detached	41%
Valor Chevron Shell	Legendary	3308716491	detached	30%
Arch Shell	Legendary	2371653987	detached	86%
Aero Dart Shell	Legendary	4214004311	detached	31%
Sagira's Shell	Exotic	573576346	detached	41%
Ladylike Shell	Exotic	286098607	detached	66%
Predator Sun Shell	Exotic	3717471208	detached	47%
Neon Helix Shell	Exotic	227918507	detached	66%
Totem Shell	Exotic	527607311	detached	100%
Authorized Misconduct Shell	Legendary	980898611	inside	68%
Eyeball Shell	Legendary	374922811	inside	68%
Headerstripe Shell	Legendary	980898608	inside	68%
Iris Pulsator Shell	Exotic	3775812469	inside	60%
Quondam Shell	Legendary	4283023982	inside	68%
Regality Sphere Shell	Legendary	980898610	inside	68%
Archipelago Pitch	Exotic	3717471209	inside	56%
Skyline Flipside Shell	Exotic	3075308678	inside	59%
Chrome Crab Shell	Legendary	4214004312	inside	27%
Eye of the Storm Shell	Legendary	4214004313	inside	27%
Sanctified Vigilance Shell	Exotic	1106697450	inside	57%
Knight's Peace Shell	Exotic	2894506171	inside	100%
Alchemical Dawn Shell	Exotic	1642781471	inside	48%
Hissing Silence Shell	Exotic	527607310	inside	47%
Intrepid Shell	Exotic	443190223	inside	55%
Drop Pod Shell	Exotic	443190222	inside	74%
Abacus Shell	Legendary	1271045323	inside	58%
Ambrite Complex Shell	Legendary	1887457789	inside	44%
Amo Ludere Shell	Legendary	263371516	inside	41%
Angora Raider Shell	Legendary	4283023983	inside	96%
Armory Forged Shell	Exotic	2960983142	inside	72%
Atlantis Shell	Legendary	1625672312	inside	58%
Audiophile Shell	Legendary	3308716489	inside	58%
Autumn Gloss Shell	Legendary	3308716494	inside	44%
Blaster Box	Legendary	631626579	inside	58%
Block-Z Shell	Legendary	2731919245	inside	41%
Blue Moon Shell	Legendary	2833999143	inside	77%
Blue Sky Shell	Legendary	374922803	inside	46%
Bold Shell	Legendary	261110024	inside	77%
Canaan's Harvest Shell	Legendary	4283023980	inside	58%
Chevron Shell	Legendary	1625672315	inside	41%
Circular Time Shell	Legendary	3287805178	inside	44%
Citrine Sway Shell	Legendary	980898609	inside	77%
Commanding Star Shell	Legendary	1271045313	inside	41%
Copperhead Supremacy Shell	Legendary	631626578	inside	58%
Cordial Diamond Shell	Legendary	374922800	inside	47%
Cosmos Shell	Exotic	1558857471	inside	41%
Crescent Shell	Legendary	277887714	inside	77%
Dark Days Shell	Legendary	4214004316	inside	77%
Dawning Bauble Shell	Legendary	3287805176	inside	37%
Deep Space Shell	Legendary	3681086672	inside	58%
Dolphin Wave Shell	Legendary	1271045319	inside	44%
Dulcinea Shell	Legendary	3287805175	inside	41%
Eight Ball Shell	Legendary	3308716495	inside	47%
Electric Heart Shell	Legendary	263371517	inside	47%
Electronica Shell	Exotic	1558857466	inside	58%
Entwining Heart Shell	Legendary	263371512	inside	36%
Fast Lane Shell	Exotic	1558857468	inside	65%
Fire Victorious Shell	Exotic	1558857469	inside	37%
Firefly Shell	Legendary	2352898312	inside	47%
Flaming Arrow Shell	Legendary	1271045315	inside	47%
Freyja Shell	Legendary	374922805	inside	96%
Frozen Amaryllis Shell	Legendary	1028757554	inside	47%
Furtive Shell	Legendary	4257852942	inside	84%
Fusion Matrix Shell	Legendary	2960983143	inside	47%
Future Perfect Shell	Exotic	227918504	inside	93%
Futurecraft Shell	Legendary	2960983140	inside	44%
Garland Shell	Legendary	263371513	inside	41%
Garter Snake Shell	Legendary	1271045316	inside	37%
